score_delta,n_min,tau,attribute,conditioning,model_1,model_2,model_3,edge_1,edge_2,edge_3,margin_1,margin_2,margin_3,support_1,support_2,support_3,weighted_cycle_intensity,min_abs_margin
0.0,10,0.0,choice_factuality,low_q25,gpt-3.5-turbo,tiiuae/falcon-7b-instruct,claude-2.1,gpt-3.5-turbo > claude-2.1,tiiuae/falcon-7b-instruct > gpt-3.5-turbo,claude-2.1 > tiiuae/falcon-7b-instruct,0.16666666666666666,0.2,0.16666666666666666,42.0,20.0,24.0,0.005555555555555555,0.16666666666666666
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-13b-chat-hf,meta-llama/Llama-2-7b-chat-hf,gpt-3.5-turbo,meta-llama/Llama-2-13b-chat-hf > gpt-3.5-turbo,meta-llama/Llama-2-7b-chat-hf > meta-llama/Llama-2-13b-chat-hf,gpt-3.5-turbo > meta-llama/Llama-2-7b-chat-hf,0.2857142857142857,0.3333333333333333,0.05405405405405406,21.0,15.0,37.0,0.005148005148005148,0.05405405405405406
0.0,10,0.0,choice_factuality,low_q25,command-light,gpt-4-1106-preview,models/chat-bison-001,command-light > gpt-4-1106-preview,gpt-4-1106-preview > models/chat-bison-001,models/chat-bison-001 > command-light,0.1724137931034483,0.13513513513513514,0.1875,29.0,37.0,32.0,0.004368592730661697,0.13513513513513514
0.0,10,0.0,choice_factuality,low_q25,command-nightly,gpt-4-1106-preview,timdettmers/guanaco-33b-merged,command-nightly > gpt-4-1106-preview,gpt-4-1106-preview > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > command-nightly,0.20588235294117646,0.0625,0.3125,34.0,32.0,32.0,0.0040211397058823525,0.0625
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,tiiuae/falcon-7b-instruct,gpt-4-1106-preview,meta-llama/Llama-2-70b-chat-hf > gpt-4-1106-preview,tiiuae/falcon-7b-instruct > meta-llama/Llama-2-70b-chat-hf,gpt-4-1106-preview > tiiuae/falcon-7b-instruct,0.5238095238095238,0.047619047619047616,0.15384615384615385,21.0,21.0,26.0,0.0038374324088609807,0.047619047619047616
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-13b-chat-hf,timdettmers/guanaco-33b-merged,gpt-3.5-turbo,meta-llama/Llama-2-13b-chat-hf > gpt-3.5-turbo,timdettmers/guanaco-33b-merged > meta-llama/Llama-2-13b-chat-hf,gpt-3.5-turbo > timdettmers/guanaco-33b-merged,0.2857142857142857,0.42857142857142855,0.030303030303030304,21.0,14.0,33.0,0.0037105751391465673,0.030303030303030304
0.0,10,0.0,choice_factuality,low_q25,claude-2,claude-2.1,tiiuae/falcon-7b-instruct,claude-2 > claude-2.1,claude-2.1 > tiiuae/falcon-7b-instruct,tiiuae/falcon-7b-instruct > claude-2,0.21739130434782608,0.16666666666666666,0.0967741935483871,23.0,24.0,31.0,0.0035063113604488073,0.0967741935483871
0.0,10,0.0,choice_factuality,low_q25,gpt-3.5-turbo,gpt-4-1106-preview,command-nightly,gpt-3.5-turbo > command-nightly,gpt-4-1106-preview > gpt-3.5-turbo,command-nightly > gpt-4-1106-preview,0.05555555555555555,0.25925925925925924,0.20588235294117646,36.0,27.0,34.0,0.002965383684337932,0.05555555555555555
0.0,10,0.0,choice_factuality,low_q25,command-light,gpt-4,models/chat-bison-001,command-light > gpt-4,gpt-4 > models/chat-bison-001,models/chat-bison-001 > command-light,0.40540540540540543,0.037037037037037035,0.1875,37.0,27.0,32.0,0.002815315315315315,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,meta-llama/Llama-2-7b-chat-hf,HuggingFaceH4/zephyr-7b-beta,claude-instant-1 > HuggingFaceH4/zephyr-7b-beta,meta-llama/Llama-2-7b-chat-hf > claude-instant-1,HuggingFaceH4/zephyr-7b-beta > meta-llama/Llama-2-7b-chat-hf,0.16666666666666666,0.08333333333333333,0.2,24.0,24.0,25.0,0.002777777777777778,0.08333333333333333
0.0,10,0.0,choice_factuality,low_q25,command-light,timdettmers/guanaco-33b-merged,claude-2,command-light > claude-2,timdettmers/guanaco-33b-merged > command-light,claude-2 > timdettmers/guanaco-33b-merged,0.3333333333333333,0.1724137931034483,0.043478260869565216,33.0,29.0,23.0,0.002498750624687656,0.043478260869565216
0.0,10,0.0,choice_factuality,low_q25,command-nightly,meta-llama/Llama-2-70b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,command-nightly > meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-70b-chat-hf > mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1 > command-nightly,0.03125,0.5,0.15384615384615385,32.0,24.0,26.0,0.002403846153846154,0.03125
0.0,10,0.0,choice_factuality,low_q25,command-nightly,timdettmers/guanaco-33b-merged,claude-2,command-nightly > claude-2,timdettmers/guanaco-33b-merged > command-nightly,claude-2 > timdettmers/guanaco-33b-merged,0.15384615384615385,0.3125,0.043478260869565216,26.0,32.0,23.0,0.0020903010033444815,0.043478260869565216
0.0,10,0.0,choice_factuality,low_q25,HuggingFaceH4/zephyr-7b-beta,meta-llama/Llama-2-7b-chat-hf,models/chat-bison-001,HuggingFaceH4/zephyr-7b-beta > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > models/chat-bison-001,models/chat-bison-001 > HuggingFaceH4/zephyr-7b-beta,0.2,0.058823529411764705,0.1754385964912281,25.0,34.0,38.0,0.002063983488132095,0.058823529411764705
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,command-nightly,meta-llama/Llama-2-7b-chat-hf,claude-instant-1 > command-nightly,command-nightly > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > claude-instant-1,0.058823529411764705,0.4166666666666667,0.08333333333333333,34.0,24.0,24.0,0.0020424836601307186,0.058823529411764705
0.0,10,0.0,choice_factuality,low_q25,command-light,gpt-4-1106-preview,timdettmers/guanaco-33b-merged,command-light > gpt-4-1106-preview,gpt-4-1106-preview > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > command-light,0.1724137931034483,0.0625,0.1724137931034483,29.0,32.0,29.0,0.001857907253269917,0.0625
0.0,10,0.0,choice_factuality,low_q25,gpt-4,timdettmers/guanaco-33b-merged,claude-2,gpt-4 > claude-2,timdettmers/guanaco-33b-merged > gpt-4,claude-2 > timdettmers/guanaco-33b-merged,0.19230769230769232,0.21739130434782608,0.043478260869565216,26.0,23.0,23.0,0.0018176530463865058,0.043478260869565216
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,gpt-4-1106-preview,models/chat-bison-001,claude-instant-1 > gpt-4-1106-preview,gpt-4-1106-preview > models/chat-bison-001,models/chat-bison-001 > claude-instant-1,0.11764705882352941,0.13513513513513514,0.11428571428571428,34.0,37.0,35.0,0.0018169429934135819,0.11428571428571428
0.0,10,0.0,choice_factuality,low_q25,command,meta-llama/Llama-2-70b-chat-hf,HuggingFaceH4/zephyr-7b-beta,command > HuggingFaceH4/zephyr-7b-beta,meta-llama/Llama-2-70b-chat-hf > command,HuggingFaceH4/zephyr-7b-beta > meta-llama/Llama-2-70b-chat-hf,0.13333333333333333,0.07692307692307693,0.16129032258064516,30.0,26.0,31.0,0.0016542597187758478,0.07692307692307693
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-7b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,claude-instant-1,meta-llama/Llama-2-7b-chat-hf > claude-instant-1,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-7b-chat-hf,claude-instant-1 > mistralai/Mistral-7B-Instruct-v0.1,0.08333333333333333,0.16,0.12121212121212122,24.0,25.0,33.0,0.0016161616161616162,0.08333333333333333
0.0,10,0.0,choice_factuality,low_q25,gpt-3.5-turbo,meta-llama/Llama-2-13b-chat-hf,command-nightly,gpt-3.5-turbo > command-nightly,meta-llama/Llama-2-13b-chat-hf > gpt-3.5-turbo,command-nightly > meta-llama/Llama-2-13b-chat-hf,0.05555555555555555,0.2857142857142857,0.1,36.0,21.0,20.0,0.0015873015873015873,0.05555555555555555
0.0,10,0.0,choice_factuality,low_q25,gpt-3.5-turbo,meta-llama/Llama-2-7b-chat-hf,tiiuae/falcon-7b-instruct,gpt-3.5-turbo > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > tiiuae/falcon-7b-instruct,tiiuae/falcon-7b-instruct > gpt-3.5-turbo,0.05405405405405406,0.14285714285714285,0.2,37.0,28.0,20.0,0.0015444015444015446,0.05405405405405406
0.0,10,0.0,choice_factuality,low_q25,gpt-3.5-turbo,tiiuae/falcon-7b-instruct,command-nightly,gpt-3.5-turbo > command-nightly,tiiuae/falcon-7b-instruct > gpt-3.5-turbo,command-nightly > tiiuae/falcon-7b-instruct,0.05555555555555555,0.2,0.13043478260869565,36.0,20.0,23.0,0.0014492753623188406,0.05555555555555555
0.0,10,0.0,choice_factuality,low_q25,command-nightly,mistralai/Mistral-7B-Instruct-v0.1,command,command-nightly > command,mistralai/Mistral-7B-Instruct-v0.1 > command-nightly,command > mistralai/Mistral-7B-Instruct-v0.1,0.058823529411764705,0.15384615384615385,0.14285714285714285,34.0,26.0,28.0,0.001292824822236587,0.058823529411764705
0.0,10,0.0,choice_factuality,low_q25,command-nightly,gpt-3.5-turbo,claude-2,command-nightly > claude-2,gpt-3.5-turbo > command-nightly,claude-2 > gpt-3.5-turbo,0.15384615384615385,0.05555555555555555,0.14814814814814814,26.0,36.0,27.0,0.0012662234884457107,0.05555555555555555
0.0,10,0.0,choice_factuality,low_q25,OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,claude-2,timdettmers/guanaco-33b-merged,OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5 > claude-2,claude-2 > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,0.13043478260869565,0.043478260869565216,0.2222222222222222,23.0,23.0,18.0,0.0012602394454946438,0.043478260869565216
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-13b-chat-hf,timdettmers/guanaco-33b-merged,claude-2,meta-llama/Llama-2-13b-chat-hf > claude-2,timdettmers/guanaco-33b-merged > meta-llama/Llama-2-13b-chat-hf,claude-2 > timdettmers/guanaco-33b-merged,0.06666666666666667,0.42857142857142855,0.043478260869565216,15.0,14.0,23.0,0.0012422360248447203,0.043478260869565216
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,tiiuae/falcon-7b-instruct,claude-2.1,meta-llama/Llama-2-70b-chat-hf > claude-2.1,tiiuae/falcon-7b-instruct > meta-llama/Llama-2-70b-chat-hf,claude-2.1 > tiiuae/falcon-7b-instruct,0.15384615384615385,0.047619047619047616,0.16666666666666666,26.0,21.0,24.0,0.001221001221001221,0.047619047619047616
0.0,10,0.0,choice_factuality,low_q25,gpt-3.5-turbo,gpt-4,command-nightly,gpt-3.5-turbo > command-nightly,gpt-4 > gpt-3.5-turbo,command-nightly > gpt-4,0.05555555555555555,0.14285714285714285,0.15384615384615385,36.0,21.0,26.0,0.001221001221001221,0.05555555555555555
0.0,10,0.0,choice_factuality,low_q25,command-nightly,gpt-3.5-turbo,command,command-nightly > command,gpt-3.5-turbo > command-nightly,command > gpt-3.5-turbo,0.058823529411764705,0.05555555555555555,0.37142857142857144,34.0,36.0,35.0,0.0012138188608776844,0.05555555555555555
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,timdettmers/guanaco-33b-merged,gpt-4-1106-preview,meta-llama/Llama-2-70b-chat-hf > gpt-4-1106-preview,timdettmers/guanaco-33b-merged > meta-llama/Llama-2-70b-chat-hf,gpt-4-1106-preview > timdettmers/guanaco-33b-merged,0.5238095238095238,0.037037037037037035,0.0625,21.0,27.0,32.0,0.0012125220458553791,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,gpt-4,meta-llama/Llama-2-7b-chat-hf,gpt-3.5-turbo,gpt-4 > gpt-3.5-turbo,meta-llama/Llama-2-7b-chat-hf > gpt-4,gpt-3.5-turbo > meta-llama/Llama-2-7b-chat-hf,0.14285714285714285,0.15384615384615385,0.05405405405405406,21.0,26.0,37.0,0.0011880011880011881,0.05405405405405406
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,tiiuae/falcon-7b-instruct,gpt-4,meta-llama/Llama-2-70b-chat-hf > gpt-4,tiiuae/falcon-7b-instruct > meta-llama/Llama-2-70b-chat-hf,gpt-4 > tiiuae/falcon-7b-instruct,0.17391304347826086,0.047619047619047616,0.14285714285714285,23.0,21.0,21.0,0.001183081928423543,0.047619047619047616
0.0,10,0.0,choice_factuality,low_q25,command-light,gpt-3.5-turbo,timdettmers/guanaco-33b-merged,command-light > gpt-3.5-turbo,gpt-3.5-turbo > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > command-light,0.22580645161290322,0.030303030303030304,0.1724137931034483,31.0,33.0,29.0,0.001179762025145785,0.030303030303030304
0.0,10,0.0,choice_factuality,low_q25,command-nightly,gpt-4-1106-preview,mistralai/Mistral-7B-Instruct-v0.1,command-nightly > gpt-4-1106-preview,gpt-4-1106-preview > mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1 > command-nightly,0.20588235294117646,0.037037037037037035,0.15384615384615385,34.0,27.0,26.0,0.0011731188201776436,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,command,command-nightly,claude-instant-1,command > claude-instant-1,command-nightly > command,claude-instant-1 > command-nightly,0.3333333333333333,0.058823529411764705,0.058823529411764705,24.0,34.0,34.0,0.0011534025374855825,0.058823529411764705
0.0,10,0.0,choice_factuality,low_q25,HuggingFaceH4/zephyr-7b-beta,gpt-4,models/chat-bison-001,HuggingFaceH4/zephyr-7b-beta > gpt-4,gpt-4 > models/chat-bison-001,models/chat-bison-001 > HuggingFaceH4/zephyr-7b-beta,0.16666666666666666,0.037037037037037035,0.1754385964912281,30.0,27.0,38.0,0.0010829542993285683,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,timdettmers/guanaco-33b-merged,HuggingFaceH4/zephyr-7b-beta,claude-instant-1 > HuggingFaceH4/zephyr-7b-beta,timdettmers/guanaco-33b-merged > claude-instant-1,HuggingFaceH4/zephyr-7b-beta > timdettmers/guanaco-33b-merged,0.16666666666666666,0.07142857142857142,0.08333333333333333,24.0,28.0,24.0,0.000992063492063492,0.07142857142857142
0.0,10,0.0,choice_factuality,low_q25,mistralai/Mistral-7B-Instruct-v0.1,models/chat-bison-001,meta-llama/Llama-2-7b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-7b-chat-hf,models/chat-bison-001 > mistralai/Mistral-7B-Instruct-v0.1,meta-llama/Llama-2-7b-chat-hf > models/chat-bison-001,0.16,0.10344827586206896,0.058823529411764705,25.0,29.0,34.0,0.000973630831643002,0.058823529411764705
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,timdettmers/guanaco-33b-merged,claude-2,claude-instant-1 > claude-2,timdettmers/guanaco-33b-merged > claude-instant-1,claude-2 > timdettmers/guanaco-33b-merged,0.30434782608695654,0.07142857142857142,0.043478260869565216,23.0,28.0,23.0,0.0009451795841209829,0.043478260869565216
0.0,10,0.0,choice_factuality,low_q25,gpt-4,timdettmers/guanaco-33b-merged,gpt-3.5-turbo,gpt-4 > gpt-3.5-turbo,timdettmers/guanaco-33b-merged > gpt-4,gpt-3.5-turbo > timdettmers/guanaco-33b-merged,0.14285714285714285,0.21739130434782608,0.030303030303030304,21.0,23.0,33.0,0.0009410878976096366,0.030303030303030304
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,tiiuae/falcon-7b-instruct,command,meta-llama/Llama-2-70b-chat-hf > command,tiiuae/falcon-7b-instruct > meta-llama/Llama-2-70b-chat-hf,command > tiiuae/falcon-7b-instruct,0.07692307692307693,0.047619047619047616,0.25,26.0,21.0,16.0,0.0009157509157509158,0.047619047619047616
0.0,10,0.0,choice_factuality,low_q25,command-light,meta-llama/Llama-2-7b-chat-hf,timdettmers/guanaco-33b-merged,command-light > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > command-light,0.034482758620689655,0.15,0.1724137931034483,29.0,40.0,29.0,0.0008917954815695601,0.034482758620689655
0.0,10,0.0,choice_factuality,low_q25,OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,claude-2.1,tiiuae/falcon-7b-instruct,OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5 > claude-2.1,claude-2.1 > tiiuae/falcon-7b-instruct,tiiuae/falcon-7b-instruct > OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,0.027777777777777776,0.16666666666666666,0.18518518518518517,36.0,24.0,27.0,0.0008573388203017831,0.027777777777777776
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,tiiuae/falcon-7b-instruct,meta-llama/Llama-2-70b-chat-hf > mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-Instruct-v0.1 > tiiuae/falcon-7b-instruct,tiiuae/falcon-7b-instruct > meta-llama/Llama-2-70b-chat-hf,0.5,0.03571428571428571,0.047619047619047616,24.0,28.0,21.0,0.0008503401360544216,0.03571428571428571
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,command-light,meta-llama/Llama-2-7b-chat-hf,claude-instant-1 > command-light,command-light > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > claude-instant-1,0.2903225806451613,0.034482758620689655,0.08333333333333333,31.0,29.0,24.0,0.0008342602892102335,0.034482758620689655
0.0,10,0.0,choice_factuality,low_q25,mistralai/Mistral-7B-Instruct-v0.1,models/chat-bison-001,gpt-4,mistralai/Mistral-7B-Instruct-v0.1 > gpt-4,models/chat-bison-001 > mistralai/Mistral-7B-Instruct-v0.1,gpt-4 > models/chat-bison-001,0.18181818181818182,0.10344827586206896,0.037037037037037035,22.0,29.0,27.0,0.0006966213862765587,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,command-nightly,timdettmers/guanaco-33b-merged,command,command-nightly > command,timdettmers/guanaco-33b-merged > command-nightly,command > timdettmers/guanaco-33b-merged,0.058823529411764705,0.3125,0.037037037037037035,34.0,32.0,27.0,0.0006808278867102397,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,command,gpt-4,models/chat-bison-001,command > gpt-4,gpt-4 > models/chat-bison-001,models/chat-bison-001 > command,0.10344827586206896,0.037037037037037035,0.17391304347826086,29.0,27.0,23.0,0.0006663334999167083,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-7b-chat-hf,gpt-3.5-turbo,meta-llama/Llama-2-70b-chat-hf > gpt-3.5-turbo,meta-llama/Llama-2-7b-chat-hf > meta-llama/Llama-2-70b-chat-hf,gpt-3.5-turbo > meta-llama/Llama-2-7b-chat-hf,0.04,0.30434782608695654,0.05405405405405406,25.0,23.0,37.0,0.0006580493537015278,0.04
0.0,10,0.0,choice_factuality,low_q25,mistralai/Mistral-7B-Instruct-v0.1,timdettmers/guanaco-33b-merged,meta-llama/Llama-2-7b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-7b-chat-hf,timdettmers/guanaco-33b-merged > mistralai/Mistral-7B-Instruct-v0.1,meta-llama/Llama-2-7b-chat-hf > timdettmers/guanaco-33b-merged,0.16,0.02702702702702703,0.15,25.0,37.0,40.0,0.0006486486486486486,0.02702702702702703
0.0,10,0.0,choice_factuality,low_q25,mistralai/Mistral-7B-Instruct-v0.1,models/chat-bison-001,command-nightly,mistralai/Mistral-7B-Instruct-v0.1 > command-nightly,models/chat-bison-001 > mistralai/Mistral-7B-Instruct-v0.1,command-nightly > models/chat-bison-001,0.15384615384615385,0.10344827586206896,0.037037037037037035,26.0,29.0,27.0,0.0005894488653109342,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,gpt-4-1106-preview,timdettmers/guanaco-33b-merged,claude-instant-1 > gpt-4-1106-preview,gpt-4-1106-preview > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > claude-instant-1,0.11764705882352941,0.0625,0.07142857142857142,34.0,32.0,28.0,0.0005252100840336134,0.0625
0.0,10,0.0,choice_factuality,low_q25,tiiuae/falcon-7b-instruct,timdettmers/guanaco-33b-merged,gpt-3.5-turbo,tiiuae/falcon-7b-instruct > gpt-3.5-turbo,timdettmers/guanaco-33b-merged > tiiuae/falcon-7b-instruct,gpt-3.5-turbo > timdettmers/guanaco-33b-merged,0.2,0.07692307692307693,0.030303030303030304,20.0,26.0,33.0,0.00046620046620046625,0.030303030303030304
0.0,10,0.0,choice_factuality,low_q25,models/chat-bison-001,timdettmers/guanaco-33b-merged,HuggingFaceH4/zephyr-7b-beta,models/chat-bison-001 > HuggingFaceH4/zephyr-7b-beta,timdettmers/guanaco-33b-merged > models/chat-bison-001,HuggingFaceH4/zephyr-7b-beta > timdettmers/guanaco-33b-merged,0.1754385964912281,0.02857142857142857,0.08333333333333333,38.0,35.0,24.0,0.00041771094402673353,0.02857142857142857
0.0,10,0.0,choice_factuality,low_q25,command-light,meta-llama/Llama-2-7b-chat-hf,models/chat-bison-001,command-light > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > models/chat-bison-001,models/chat-bison-001 > command-light,0.034482758620689655,0.058823529411764705,0.1875,29.0,34.0,32.0,0.00038032454361054766,0.034482758620689655
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,timdettmers/guanaco-33b-merged,claude-2,meta-llama/Llama-2-70b-chat-hf > claude-2,timdettmers/guanaco-33b-merged > meta-llama/Llama-2-70b-chat-hf,claude-2 > timdettmers/guanaco-33b-merged,0.22580645161290322,0.037037037037037035,0.043478260869565216,31.0,27.0,23.0,0.00036361747441691336,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,gpt-4,models/chat-bison-001,claude-instant-1 > gpt-4,gpt-4 > models/chat-bison-001,models/chat-bison-001 > claude-instant-1,0.08571428571428572,0.037037037037037035,0.11428571428571428,35.0,27.0,35.0,0.00036281179138321996,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,tiiuae/falcon-7b-instruct,timdettmers/guanaco-33b-merged,claude-2,tiiuae/falcon-7b-instruct > claude-2,timdettmers/guanaco-33b-merged > tiiuae/falcon-7b-instruct,claude-2 > timdettmers/guanaco-33b-merged,0.0967741935483871,0.07692307692307693,0.043478260869565216,31.0,26.0,23.0,0.00032365951019527455,0.043478260869565216
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,gpt-3.5-turbo,meta-llama/Llama-2-7b-chat-hf,claude-instant-1 > gpt-3.5-turbo,gpt-3.5-turbo > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-7b-chat-hf > claude-instant-1,0.0625,0.05405405405405406,0.08333333333333333,32.0,37.0,24.0,0.00028153153153153153,0.05405405405405406
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,command-nightly,models/chat-bison-001,claude-instant-1 > command-nightly,command-nightly > models/chat-bison-001,models/chat-bison-001 > claude-instant-1,0.058823529411764705,0.037037037037037035,0.11428571428571428,34.0,27.0,35.0,0.0002489884842826019,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,mistralai/Mistral-7B-Instruct-v0.1,timdettmers/guanaco-33b-merged,claude-2,mistralai/Mistral-7B-Instruct-v0.1 > claude-2,timdettmers/guanaco-33b-merged > mistralai/Mistral-7B-Instruct-v0.1,claude-2 > timdettmers/guanaco-33b-merged,0.1875,0.02702702702702703,0.043478260869565216,32.0,37.0,23.0,0.00022032902467685077,0.02702702702702703
0.0,10,0.0,choice_factuality,low_q25,models/chat-bison-001,timdettmers/guanaco-33b-merged,command,models/chat-bison-001 > command,timdettmers/guanaco-33b-merged > models/chat-bison-001,command > timdettmers/guanaco-33b-merged,0.17391304347826086,0.02857142857142857,0.037037037037037035,23.0,35.0,27.0,0.00018403496664366227,0.02857142857142857
0.0,10,0.0,choice_factuality,low_q25,mistralai/Mistral-7B-Instruct-v0.1,timdettmers/guanaco-33b-merged,gpt-3.5-turbo,mistralai/Mistral-7B-Instruct-v0.1 > gpt-3.5-turbo,timdettmers/guanaco-33b-merged > mistralai/Mistral-7B-Instruct-v0.1,gpt-3.5-turbo > timdettmers/guanaco-33b-merged,0.2,0.02702702702702703,0.030303030303030304,25.0,37.0,33.0,0.0001638001638001638,0.02702702702702703
0.0,10,0.0,choice_factuality,low_q25,claude-instant-1,gpt-3.5-turbo,timdettmers/guanaco-33b-merged,claude-instant-1 > gpt-3.5-turbo,gpt-3.5-turbo > timdettmers/guanaco-33b-merged,timdettmers/guanaco-33b-merged > claude-instant-1,0.0625,0.030303030303030304,0.07142857142857142,32.0,33.0,28.0,0.00013528138528138528,0.030303030303030304
0.0,10,0.0,choice_factuality,low_q25,models/chat-bison-001,timdettmers/guanaco-33b-merged,claude-2,models/chat-bison-001 > claude-2,timdettmers/guanaco-33b-merged > models/chat-bison-001,claude-2 > timdettmers/guanaco-33b-merged,0.09090909090909091,0.02857142857142857,0.043478260869565216,33.0,35.0,23.0,0.00011293054771315641,0.02857142857142857
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,timdettmers/guanaco-33b-merged,command,meta-llama/Llama-2-70b-chat-hf > command,timdettmers/guanaco-33b-merged > meta-llama/Llama-2-70b-chat-hf,command > timdettmers/guanaco-33b-merged,0.07692307692307693,0.037037037037037035,0.037037037037037035,26.0,27.0,27.0,0.00010551862403714256,0.037037037037037035
0.0,10,0.0,choice_factuality,low_q25,gpt-3.5-turbo,meta-llama/Llama-2-70b-chat-hf,command-nightly,gpt-3.5-turbo > command-nightly,meta-llama/Llama-2-70b-chat-hf > gpt-3.5-turbo,command-nightly > meta-llama/Llama-2-70b-chat-hf,0.05555555555555555,0.04,0.03125,36.0,25.0,32.0,6.944444444444444e-05,0.03125
0.0,10,0.0,choice_factuality,low_q25,meta-llama/Llama-2-70b-chat-hf,timdettmers/guanaco-33b-merged,gpt-3.5-turbo,meta-llama/Llama-2-70b-chat-hf > gpt-3.5-turbo,timdettmers/guanaco-33b-merged > meta-llama/Llama-2-70b-chat-hf,gpt-3.5-turbo > timdettmers/guanaco-33b-merged,0.04,0.037037037037037035,0.030303030303030304,25.0,27.0,33.0,4.489337822671156e-05,0.030303030303030304
0.0,10,0.05,choice_factuality,low_q25,meta-llama/Llama-2-7b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1,meta-llama/Llama-2-70b-chat-hf,meta-llama/Llama-2-7b-chat-hf > meta-llama/Llama-2-70b-chat-hf,mistralai/Mistral-7B-Instruct-v0.1 > meta-llama/Llama-2-7b-chat-hf,meta-llama/Llama-2-70b-chat-hf > mistralai/Mistral-7B-Instruct-v0.1,0.30434782608695654,0.16,0.5,23.0,25.0,24.0,0.024347826086956525,0.16
